filename,label,label (0/1),label (no/yes)
Image_1.jpg,without_mask,0,no
Image_2.jpg,without_mask,0,no
Image_3.jpg,without_mask,0,no
Image_4.jpg,without_mask,0,no
Image_5.jpg,without_mask,0,no
Image_6.jpg,without_mask,0,no
Image_7.jpg,without_mask,0,no
Image_8.jpg,without_mask,0,no
Image_9.jpg,without_mask,0,no
Image_10.jpg,without_mask,0,no
Image_11.jpg,without_mask,0,no
Image_12.jpg,without_mask,0,no
Image_13.jpg,without_mask,0,no
Image_14.jpg,without_mask,0,no
Image_15.jpg,without_mask,0,no
Image_16.jpg,without_mask,0,no
Image_17.jpg,without_mask,0,no
Image_18.jpg,without_mask,0,no
Image_19.jpg,without_mask,0,no
Image_20.jpg,without_mask,0,no
Image_21.jpg,without_mask,0,no
Image_22.jpg,without_mask,0,no
Image_23.jpg,without_mask,0,no
Image_24.jpg,without_mask,0,no
Image_25.jpg,without_mask,0,no
Image_26.jpg,without_mask,0,no
Image_27.jpg,without_mask,0,no
Image_28.jpg,without_mask,0,no
Image_29.jpg,without_mask,0,no
Image_30.jpg,without_mask,0,no
Image_31.jpg,without_mask,0,no
Image_32.jpg,without_mask,0,no
Image_33.jpg,without_mask,0,no
Image_34.jpg,without_mask,0,no
Image_35.jpg,without_mask,0,no
Image_36.jpg,without_mask,0,no
Image_37.jpg,without_mask,0,no
Image_38.jpg,without_mask,0,no
Image_39.jpg,without_mask,0,no
Image_40.jpg,without_mask,0,no
Image_41.jpg,without_mask,0,no
Image_42.jpg,without_mask,0,no
Image_43.jpg,without_mask,0,no
Image_44.jpg,without_mask,0,no
Image_45.jpg,without_mask,0,no
Image_46.jpg,without_mask,0,no
Image_47.jpg,without_mask,0,no
Image_48.jpg,without_mask,0,no
Image_49.jpg,without_mask,0,no
Image_50.jpg,without_mask,0,no
Image_51.jpg,without_mask,0,no
Image_52.jpg,without_mask,0,no
Image_53.jpg,without_mask,0,no
Image_54.jpg,without_mask,0,no
Image_55.jpg,without_mask,0,no
Image_56.jpg,without_mask,0,no
Image_57.jpg,without_mask,0,no
Image_58.jpg,without_mask,0,no
Image_59.jpg,without_mask,0,no
Image_60.jpg,without_mask,0,no
Image_61.jpg,without_mask,0,no
Image_62.jpg,without_mask,0,no
Image_63.jpg,without_mask,0,no
Image_64.jpg,without_mask,0,no
Image_65.jpg,without_mask,0,no
Image_66.jpg,without_mask,0,no
Image_67.jpg,without_mask,0,no
Image_68.jpg,without_mask,0,no
Image_69.jpg,without_mask,0,no
Image_70.jpg,without_mask,0,no
Image_71.jpg,without_mask,0,no
Image_72.jpg,without_mask,0,no
Image_73.jpg,without_mask,0,no
Image_74.jpg,without_mask,0,no
Image_75.jpg,without_mask,0,no
Image_76.jpg,without_mask,0,no
Image_77.jpg,without_mask,0,no
Image_78.jpg,without_mask,0,no
Image_79.jpg,without_mask,0,no
Image_80.jpg,without_mask,0,no
Image_81.jpg,without_mask,0,no
Image_82.jpg,without_mask,0,no
Image_83.jpg,without_mask,0,no
Image_84.jpg,without_mask,0,no
Image_85.jpg,without_mask,0,no
Image_86.jpg,without_mask,0,no
Image_87.jpg,without_mask,0,no
Image_88.jpg,without_mask,0,no
Image_89.jpg,without_mask,0,no
Image_90.jpg,without_mask,0,no
Image_91.jpg,without_mask,0,no
Image_92.jpg,without_mask,0,no
Image_93.jpg,without_mask,0,no
Image_94.jpg,without_mask,0,no
Image_95.jpg,without_mask,0,no
